역코드(STN_CD),역명(STN_NM),역약어명(STN_AVVR_NM)
3900965,신둔,신둔
3900965,신둔도예촌,도예촌
3900966,이천,이천
3900967,부발,부발
3900968,능서,능서
3900968,영릉,영릉
3900968,세종대왕릉,세종릉
3900969,여주,여주
3900970,부발차량기,부발기
3900970,부발차량기,부발차
3900971,부산철도차량정비단,부단일반
3900972,청량리차량사업소,청량차량
3900973,부곡차량사업소,부곡차량
3900974,대전차량사업소,대전차량
3900975,대전조차장차량사업소,대전조차량
3900976,제천조차장차량사업소,제천조차량
3900977,익산차량사업소,익산차량
3900978,동해차량사업소,동해차량
3900979,대구차량사업소,대구차량
3900980,가야차량사업소,가야차량
3900980,가야차량,가야차량
3900981,마산차량사업소,마산차량
3900982,분당차량사업소,분당차량
3900983,평내차량사업소,평내차량
3900984,구성,구성
3900985,신갈,신갈
3900986,기흥,기흥
3900987,용문기지,용문차
3900988,송도,송도
3900989,월곶,월곶
3900990,소래포구,소래포
3900991,인천논현,인천논
3900992,호구포,호구포
3900993,남동인더스,남동인
3900994,원인재,원인재
3900995,연수,연수
3900996,솔안,솔안
3900997,서원주,서원주
3900998,서울숲,서울숲
3900999,압구로데오,로데오
3901000,강남구청,강남구
3901001,선정릉,선정릉
3901002,상갈,상갈
3901003,청명,청명
3901004,영통,영통
3901005,망포,망포
3901006,공덕,공덕
3901007,홍대입구,홍대입
3901008,백마고지,백마고
3901009,남철송장,남철송
3901010,천마산,천마산
3901011,매탄권선,매탄권
3901012,수원시청,수원시
3901013,매교,매교
3901014,신수원,신수원
3901016,공항연결,공항연
3901017,영종,영종
3901018,청라,청라
3901019,수색연결,수색연
3901020,공덕공,공덕공
3901021,용유기지,용유차
3901022,비동,비동
3901023,강매,강매
3901024,달월,달월
3901025,원흥,원흥
3901026,공주,공주
3901027,익산북연결,익산북
3901028,익산분기,익산분
3901029,익산남연결,익산남
3901030,광주송북연,광북연
3901031,신경주분기,신경분
3901032,숙성,숙성
3901032,창내신호장,창내신
3901033,숙성신호소,숙성신
3901033,신대신호소,신대신
3901034,미군기지,미기지
3901035,광주기지,광주기
3901036,신모량,신모량
3901036,모량,모량
3901037,신나원,신나원
3901037,서경주,서경주
3901038,신안강,신안강
3901038,안강,안강
3901039,신부조,신부조
3901039,부조,부조
3901040,신포항,신포항
3901040,포항,포항
3901041,야당,야당
3901042,SR분기,SR분
3901043,S수서,S수서
3901044,동탄,동탄
3901044,S동탄,S동탄
3901045,S지제,S지제
3901045,평택지제,평택지
3901046,도계솔안,도계솔
3901047,인하대,인하대
3901048,숭의,숭의
3901049,신포,신포
3901050,신인천,신인천
3901051,동교대,동교대
3901051,부산교대,부교대
3901052,오시리아,오시리
3901053,부산전동차,부전차
3901053,부산전동차,부산전
3901054,SR본사,SR본사
3901055,S성남,S성남
3901056,S용인,S용인
3901056,S구성,S구성
3901057,횡성,횡성
3901058,둔내,둔내
3901059,평창,평창
3901060,진부,진부
3901061,대관령,대관령
3901062,남강릉,남강릉
3901063,인천공항T2,공항T2
3901064,대전차량,대전차
3901065,월포,월포
3901066,장사,장사
3901067,강구,강구
3901068,영덕,영덕
3901069,강릉차분기,강릉분
3901070,강릉기지,강릉기
3901071,청량신호소,청량신
3901072,신소사,신소사
3901073,원시,원시
3901074,소새울,소새울
3901075,신대야,신대야
3901075,시흥대야,시흥대
3901076,신신천,신신천
3901077,신신현,신신현
3901078,시흥시청,시흥청
